product_id,product_name,category,unit_cost,unit_price
1,Laptop,Technology,256.74,408.62
2,Wireless Mouse,Technology,454.25,903.29
3,Monitor,Technology,128.4,178.94
4,Office Chair,Furniture,208.14,361.69
5,Smartphone,Technology,379.0,685.72
6,Tablet,Technology,118.26,164.39
7,Standing Desk,Furniture,43.11,76.85
8,Projector,Technology,148.43,221.79
9,Bookshelf,Furniture,84.8,144.66
10,Printer Paper,Office Supplies,465.2,794.01
11,Keyboard,Technology,405.02,659.62
12,Stapler,Office Supplies,318.53,405.24
13,Filing Cabinet,Furniture,436.37,815.24
14,External Hard Drive,Technology,402.82,586.76
15,Conference Table,Furniture,97.35,131.35
16,Pens Pack,Office Supplies,446.82,550.76
17,Lounge Sofa,Furniture,271.97,454.93
18,Webcam,Technology,404.68,704.97
19,Bluetooth Speaker,Technology,448.57,544.24
20,Notebooks,Office Supplies,162.41,261.43
21,Reception Desk,Furniture,59.48,82.15
22,Laptop,Technology,117.83,202.21
23,Desk Organizer,Office Supplies,216.42,289.89
24,Wireless Mouse,Technology,409.92,718.49
25,Monitor,Technology,431.06,650.64
26,Swivel Stool,Furniture,8.44,16.45
27,Smartphone,Technology,257.82,337.75
28,Credenza,Furniture,211.62,311.69
29,Tablet,Technology,114.94,148.36
30,Paper Clips,Office Supplies,64.33,124.78
31,Projector,Technology,172.12,327.35
32,Ergonomic Chair,Furniture,471.74,663.43
33,Office Chair,Furniture,164.99,285.1
34,Whiteboard Markers,Office Supplies,261.8,485.32
35,Keyboard,Technology,352.99,580.37
36,External Hard Drive,Technology,185.0,300.39
37,Folders,Office Supplies,486.03,677.27
38,Webcam,Technology,481.41,613.55
39,Bluetooth Speaker,Technology,129.63,248.6
40,Standing Desk,Furniture,251.14,482.27
41,Laptop,Technology,153.93,262.68
42,Wireless Mouse,Technology,146.0,214.8
43,Laminator,Office Supplies,23.26,34.41
44,Tape Dispenser,Office Supplies,306.73,546.21
45,Bookshelf,Furniture,253.83,486.77
46,Monitor,Technology,30.48,58.21
47,Smartphone,Technology,142.93,260.69
48,Tablet,Technology,454.59,779.0
49,Filing Cabinet,Furniture,123.58,156.61
50,Conference Table,Furniture,76.72,101.98
